Product_Name,Product_Description,Unit_Price,Category_Name,Manufacturer_Name,Brand_Name
Vitamin C 1000mg,Supports immune health,12.99,Vitamins,Bayer,NutriGold
Whey Protein Isolate,High-quality protein for muscle recovery,29.99,Proteins,Optimum Nutrition,Gold Standard
Omega-3 Fish Oil,Supports cardiovascular health,19.50,Oils,Nordic Naturals,Nordic
Multivitamin Adult,Comprehensive daily multivitamin,24.00,Vitamins,Merck,Centrum
Probiotic 30B CFU,Promotes digestive health,34.95,Probiotics,GNC,GNC Probiotic
Green Tea Extract,Rich in antioxidants and boosts metabolism,18.75,Herbal Supplements,Herbalife,Herbal Boost
Collagen Peptides,Supports skin health and joint health,27.50,Proteins,Vital Proteins,Vital Collagen
Vitamin D3 2000IU,Bone health and immune support,14.20,Vitamins,Nature's Best,Nature's Best
Magnesium Citrate,Helps muscle relaxation and stress relief,16.80,Minerals,NOW Foods,NOW
Turmeric Curcumin,Anti-inflammatory and joint support,22.40,Herbal Supplements,Doctor's Best,Doctor's Choice
Magnesium Glycinate,Highly absorbable magnesium for muscle and nerve support,19.99,Minerals,Nature's Best,Nature's Best
Probiotic Complex,Multi-strain probiotic blend for gut health,29.50,Probiotics,GNC,GNC Probiotic
Zinc 50mg,Essential mineral support for immunity and metabolism,12.25,Minerals,NOW Foods,NOW
Multivitamin Gummies,Chewable comprehensive daily gummy vitamins,21.00,Vitamins,Merck,Centrum
Vitamin D3 5000IU,High-strength vitamin D for bone and immune health,16.80,Vitamins,Nature's Best,Nature's Best
BCAA Powder,Branched-chain amino acids for workout recovery,34.00,Proteins,Optimum Nutrition,Gold Standard
Greens Superfood Blend,Organic greens powder for daily nutrition,24.95,Herbal Supplements,Herbalife,Herbal Boost
Vitamin B12 Sublingual,Fast-absorbing B12 for energy and nerve support,14.50,Vitamins,Nature's Best,Nature's Best
ZMA Capsules,Zinc magnesium and B6 formula for muscle recovery,18.75,Minerals,Nature's Best,Nature's Best
Electrolyte Powder,Hydration formula with key electrolytes,22.00,Oils,NOW Foods,NOW
Calcium Citrate,Highly absorbable calcium for bone health,13.40,Minerals,Nature's Best,Nature's Best
Creatine Monohydrate,Pure creatine for strength and power gains,27.50,Proteins,Optimum Nutrition,Gold Standard
Liver Detox Formula,Herbal blend supporting liver function,28.90,Herbal Supplements,Doctor's Best,Doctor's Best
Melatonin 5mg,Non-habit forming sleep aid,10.99,Herbal Supplements,Herbalife,Herbal Boost
Joint Support Complex,Glucosamine and chondroitin for joint health,32.00,Herbal Supplements,Doctor's Choice,Doctor's Choice
Protein Bar - Chocolate,High-protein snack bar,3.50,Proteins,GNC,GNC Probiotic
CoQ10 100mg,Antioxidant support for cardiovascular health,19.20,Oils,Doctor's Best,Doctor's Best
Iron Ferrous Bisglycinate,Gentle iron supplement for red blood cell support,15.75,Minerals,Nature's Best,Nature's Best
Vitamin K2 + D3,Bone and cardiovascular support combo,22.40,Vitamins,Nature's Best,Nature's Best
Fiber Powder,Soluble fiber supplement for digestive health,17.80,Herbal Supplements,Herbalife,Herbal Boost
